#kic fratio(Kepband) log10(T1) log10(T2) logg1 logg2
12004679 7.398578e-01 3.7713 3.7562 4.50 4.55
12022517 8.761125e-02 3.8028 3.7219 4.06 4.59
12109845 1.213031e-01 3.7835 3.6723 4.47 4.76
12316447 2.495100e-02 3.7751 3.5834 4.36 4.72
12351927 1.198506e-01 3.7107 3.5746 4.63 4.59
12418816 9.278940e-01 3.6861 3.6798 4.52 4.51
12506351 8.773869e-02 3.8596 3.7272 4.32 4.63
1995732 2.360508e+00 3.7498 3.7331 4.32 3.90
2161623 1.620069e-01 4.0993 3.7587 4.19 3.77
2307206 3.437120e-01 3.7733 3.6931 4.51 4.51
2308957 2.168991e+00 3.7775 3.7622 4.11 3.76
2437060 4.471148e-02 3.7946 3.6491 3.80 4.15
2437149 6.992853e-01 3.7698 3.7558 4.36 4.43
2437452 1.107423e-01 3.7477 3.6781 4.10 4.60
2441161 6.954243e-01 3.7759 3.7572 4.49 4.54
2445134 7.316859e-03 3.7982 3.5614 4.21 4.75
2447893 4.464841e-01 3.7239 3.6660 4.41 4.41
2449090 2.608806e-01 3.6385 3.5694 4.30 4.23
2576692 9.804906e-01 3.7817 3.7812 4.26 4.27
2580872 1.370907e+00 3.7435 3.7577 4.20 4.14
2693092 6.034107e-03 3.7805 3.5142 4.33 4.46
2719873 1.157587e-02 3.7284 3.5284 4.54 4.94
2720354 2.892143e-03 3.8498 3.5733 4.10 4.85
2852560 1.117097e+00 3.7464 3.7535 4.36 4.35
2860594 6.774489e-03 3.8783 3.7016 3.60 4.60
2860788 1.490617e-01 3.7517 3.7409 3.84 4.53
2973509 2.113186e+00 3.7981 3.7949 4.29 4.01
3003991 4.961841e-03 3.7573 3.5287 4.49 5.02 
3098194 1.418719e+00 3.6763 3.6936 3.95 3.96
3102000 3.588403e-03 3.8907 3.6097 4.13 4.89
3102024 2.318850e-01 3.8084 3.7103 4.54 4.61
3114667 5.790319e-01 3.5869 3.5685 4.46 4.44
3120320 1.418166e-01 3.7559 3.7273 3.96 4.52
3127817 3.492393e-01 4.1161 4.0648 3.79 4.03
3241619 2.289736e-01 3.8095 3.6983 4.37 4.41
3247294 4.295770e+00 3.8022 3.8709 4.42 4.17
3248019 9.441378e-01 3.7784 3.7750 4.28 4.29
3248332 1.436330e-01 3.9067 3.7785 4.30 4.47
3323289 4.860128e-01 3.7497 3.7065 4.56 4.59
3344427 4.520777e-01 3.7246 3.6860 4.46 4.56
3352751 3.772931e-02 3.8086 3.6563 3.71 4.05
3440230 2.523590e-01 4.1219 3.7712 4.07 3.55
3449540 1.001538e+00 3.8048 3.8034 4.31 4.30
3530668 1.011656e-02 4.0544 3.7282 4.24 4.73
3542573 8.134108e-01 3.7847 3.7814 4.22 4.29
3544694 5.352875e-01 3.6832 3.6400 4.28 4.25
3644542 3.335682e-01 3.8901 3.8797 3.77 4.12
3655326 3.315065e-01 4.1065 4.0364 4.29 4.52
3662635 1.452727e+00 3.8364 3.8600 4.36 4.32
3735629 4.793764e-01 3.7063 3.6448 4.60 4.55
3757778 4.861482e-03 3.7614 3.5307 4.22 4.86
3832716 1.444315e-01 3.8779 3.7888 4.10 4.43
3834364 1.360292e-02 3.7674 3.5468 4.44 4.74
3838496 1.895063e+00 3.7646 3.7371 4.29 3.92
3851193 6.302394e-03 3.7978 3.5698 4.09 4.77
3858884 5.318372e-01 4.3215 4.2840 3.86 3.98
3865298 1.036334e+00 3.7565 3.7575 4.41 4.41
3938073 4.164038e-02 3.8034 3.6670 4.14 4.63
3953106 9.614947e-01 3.8821 3.8208 4.18 3.92
3957477 1.656064e-01 3.8946 3.7995 4.08 4.33
3970117 2.621589e-02 3.7675 3.6242 4.11 4.64
3973002 2.097690e+00 3.7996 3.9196 4.14 4.34
4037163 8.022403e-01 3.7082 3.6960 4.58 4.60
4054905 4.730260e+00 3.8791 3.8071 3.94 3.09
4076952 2.345297e-01 3.8052 3.8092 3.73 4.25
4077442 9.932303e-02 3.7249 3.6296 4.27 4.60
4149684 6.363561e-02 3.8169 3.6664 4.11 4.38
4150390 3.513389e-03 3.7608 3.5052 4.42 4.89
4174507 3.117188e-01 3.7733 3.7143 4.06 4.22
4247023 8.272636e-01 3.7581 3.7504 4.40 4.44
4247791 1.246958e+00 3.8363 3.8262 3.90 3.78
4252226 4.954023e-01 3.7541 3.7584 4.08 4.37
4276114 6.806701e-02 3.7766 3.6438 4.30 4.65
4285087 8.943522e-01 3.7780 3.7733 4.44 4.46
4346875 1.851151e-02 3.7559 3.5765 4.18 4.69
4365461 1.000105e+00 3.8662 3.8663 4.12 4.12
4372765 1.364710e-01 3.8050 3.7404 4.09 4.56
4380283 3.809945e-01 3.7884 3.7578 4.26 4.49
4445630 9.250063e-01 3.8888 3.8906 4.13 4.17
4484356 6.524769e-01 3.7650 3.7446 4.47 4.54
4540632 2.517447e-01 3.7140 3.6370 4.59 4.63
4544587 5.402709e-01 3.8974 3.8611 4.17 4.25
4574310 2.885008e-01 3.9667 3.7775 4.22 4.02
4578594 5.138630e+00 3.7461 3.7456 4.49 3.84
4579321 2.136741e-01 3.7845 3.6927 4.56 4.72
4633434 3.600314e-02 3.7204 3.5507 4.55 4.77
4661634 2.275319e-02 3.9177 3.6885 4.28 4.66
4665989 2.754207e-01 3.8449 3.7977 4.04 4.30
4736208 1.487660e+00 3.8313 3.8367 4.19 4.07
4737267 2.093454e+00 3.8032 3.7408 4.27 3.75
4737302 4.990900e-01 3.8925 3.9146 3.80 4.12
4739194 5.889881e-02 3.7697 3.6008 4.11 4.20
4739791 1.192964e-01 4.0490 3.9292 4.04 4.47
4740676 5.469439e-03 4.0630 3.7072 4.15 4.74
4753988 1.368057e-01 3.7831 3.6795 4.40 4.64
4757331 1.102784e-01 3.7495 3.6273 4.37 4.52
4773155 6.228409e-01 3.7682 3.7471 4.42 4.50
4824268 8.191946e-02 3.7939 3.6736 4.28 4.66
4826439 1.028078e+00 3.7890 3.7881 3.99 3.98
4840263 4.755603e-01 3.8881 3.8342 4.22 4.27
4847832 6.219050e-01 3.7659 3.7626 4.22 4.39
4848423 8.251790e-01 3.8094 3.8071 4.15 4.21
4851217 6.935843e-01 4.2621 4.2271 4.04 4.09
4862625 1.333169e-03 3.8281 3.5311 4.11 4.88
4902030 5.061161e-01 3.6697 3.6220 4.56 4.55
4908495 5.079092e-01 3.7847 3.7547 4.45 4.59
4931073 9.840400e-02 3.8482 3.6888 4.14 4.32
4932348 6.026757e-03 3.8295 3.5853 4.39 5.00
4932691 5.577376e-02 3.8570 3.7102 4.20 4.59
4937143 5.008684e-02 3.8005 3.7156 3.89 4.59
4940201 1.150696e-01 3.7620 3.6870 4.13 4.58
4947726 1.513993e-02 3.8112 3.5833 4.38 4.73
4948863 9.575700e-02 3.7675 3.6330 4.50 4.67
5016163 1.004741e+00 3.7881 3.7880 4.11 4.11
5017058 5.548758e-01 3.8135 3.7953 4.14 4.27
5021174 2.454819e-01 3.6267 3.5325 4.60 4.36
5022440 8.781746e-02 3.7948 3.6724 4.33 4.64
5023948 8.454901e-01 3.8579 3.8503 4.26 4.30
5024292 4.183132e-01 3.8001 3.7785 4.10 4.32
5024450 1.277984e-01 3.7979 3.7442 4.02 4.53
