#Note: distances quoted are in parsecs, Gaia distances are from Bailer-Jones+2018;
# primary and secondary eclipse depths and morphology are taken from Villanova EB catalogue;
# ETV flag from visual inspection, where 0=False, 1=True, and keywords 'b', 'r', 'c' refer
# to triple identification by Borkovits+2016, Rappaport+2012, Conroy+2014, respectively.
#KIC keblat_dist keblat_dist_err gaia_dist gaia_dist_err rel_dist_err pe_depth se_depth morph etv_flag
5738506 2352.29 268.84 6015.88 3028.87 0.6090 0.270 0.295 0.14 0
5738698 921.72 35.87 945.00 49.91 0.0246 0.299 0.304 0.41 0
5781192 498.60 3.31 535.58 5.16 0.0690 0.219 0.131 0.14 0
5786154 3510.13 56.24 4451.87 286.69 0.2115 0.078 0.022 0.18 0
5802470 629.74 3.89 698.15 8.79 0.0980 0.211 0.061 0.26 0
5807579 763.37 33.39 835.70 9.67 0.0866 0.209 0.041 0.07 0
5816806 1634.70 96.41 2376.65 1164.28 0.3122 0.159 0.078 0.33 0
5871918 593.33 21.03 537.23 18.14 0.1044 0.223 0.072 0.11 0
5876805 3061.46 87.59 3587.90 536.70 0.1467 0.068 0.006 0.15 0
5955321 2283.77 21.11 2635.29 183.62 0.1334 0.414 0.403 0.16 1
5962514 4442.63 87.34 3097.73 334.53 0.4342 0.214 0.108 0.56 0
5962716 1858.54 81.07 1432.98 36.49 0.2970 0.137 0.026 0.47 1b
5979863 870.01 24.06 1113.63 37.17 0.2188 0.057 0.002 0.07 0
5986209 1002.25 31.62 1078.40 32.14 0.0706 0.337 0.087 0.03 0
6029130 964.77 27.77 1163.60 30.39 0.1709 0.285 0.239 0.10 1
