##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): Oct. 26; 2015; 3:04 p.m.
## Download Date (Y/M/D): 2016/02/01
##
## Query String: {&quot;sort&quot;:&quot;p&quot;;&quot;kics&quot;:[];&quot;campaign&quot;:[&quot;-2&quot;];&quot;etvlong&quot;:1;&quot;cols&quot;:[&quot;sdepth&quot;;&quot;pdepth&quot;;&quot;glon&quot;;&quot;scdata&quot;;&quot;pteff&quot;;&quot;cteff&quot;;&quot;ra&quot;;&quot;bjd0&quot;;&quot;morph&quot;;&quot;glat&quot;;&quot;kic&quot;;&quot;lcdata&quot;;&quot;dec&quot;;&quot;keff&quot;;&quot;p&quot;;&quot;sep&quot;;&quot;pwidth&quot;;&quot;swidth&quot;;&quot;figs&quot;;&quot;kmag&quot;];&quot;etvshort&quot;:1;&quot;incat1&quot;:1;&quot;kois&quot;:[]}
##
#KIC;period;bjd0;pdepth;sdepth;pwidth;swidth;sep;morph;RA;DEC;GLon;GLat;kmag;Teff;Teff(Pinsonneault);Teff(Casagrande);SC;
4372765;15.6398000;55004.535400;0.2460;0.1217;0.0153;0.0233;0.6705;0.11;293.6104;39.4151;72.6613;9.2802;18.2310;6282.0000;-1.0000;-1.0000;0;
9834257;15.6514391;55003.014878;0.0047;0.0039;0.0136;0.0149;0.6225;0.10;293.2332;46.6002;79.0621;12.7794;12.4290;6342.0000;6583.0000;6603.0000;0;
7601633;15.6638729;54964.731428;0.0056;-1.0000;0.0055;-1.0000;1.0000;0.04;289.8735;43.2038;74.8643;13.4708;13.4390;5982.0000;-1.0000;-1.0000;1;
9965691;15.6831951;54965.930571;0.0000;-1.0000;0.0503;-1.0000;1.0000;-1.00;297.3268;46.8452;80.6056;10.4029;13.1020;6221.0000;6392.0000;6271.0000;0;
9549472;15.7137908;54965.097158;0.0568;0.0062;0.0263;0.0164;0.3331;0.18;299.6091;46.1182;80.7529;8.6776;14.0490;5571.0000;5841.0000;6140.0000;0;
11824222;15.8413359;54978.459897;0.0212;-1.0000;0.0046;-1.0000;1.0000;0.02;296.6186;50.0220;83.2315;12.3228;14.4970;4987.0000;5188.0000;5010.0000;0;
6233466;15.8733069;55008.613065;0.1697;0.0681;0.0182;0.0201;0.4810;0.13;299.0473;41.5381;76.5644;6.6991;14.6790;5400.0000;-1.0000;-1.0000;0;
7377343;15.9089508;55000.294539;0.0065;0.0065;0.0154;0.0153;0.5001;0.13;295.9089;42.9882;76.6810;9.4345;14.4060;5965.0000;-1.0000;-1.0000;0;
2580872;15.9266276;54978.551299;0.2555;0.1670;0.0157;0.0224;0.4659;0.12;292.5286;37.8100;70.8232;9.2907;14.8800;5293.0000;5432.0000;-9999.0000;0;
9291748;15.9269941;55009.301059;0.3563;0.0159;0.0255;0.0270;0.4886;0.17;295.9471;45.7416;79.1566;10.7154;15.5380;5012.0000;5305.0000;4975.0000;0;
